Water Control Zone,Station,Dates,num,Sample No,Depth,E. coli (cfu/100mL)
Victoria Harbour,VM1,1999/3/19,187,1,Middle Water,16000
Victoria Harbour,VM1,1999/4/14,188,1,Middle Water,3100
Victoria Harbour,VM1,1999/5/12,189,1,Middle Water,7400
Victoria Harbour,VM1,1999/6/16,190,1,Middle Water,18000
Victoria Harbour,VM1,1999/7/15,191,1,Middle Water,180000
Victoria Harbour,VM1,1999/8/16,192,1,Middle Water,7700
Victoria Harbour,VM1,1999/9/22,193,1,Middle Water,10000
Victoria Harbour,VM1,1999/10/6,194,1,Middle Water,4600
Victoria Harbour,VM1,1999/11/15,195,1,Middle Water,21000
Victoria Harbour,VM1,1999/12/6,196,1,Middle Water,6500
Victoria Harbour,VM1,2000/1/17,197,1,Middle Water,26000
Victoria Harbour,VM1,2000/2/11,198,1,Middle Water,8100
Victoria Harbour,VM1,2000/3/20,199,1,Middle Water,7500
Victoria Harbour,VM1,2000/4/6,200,1,Middle Water,2900
Victoria Harbour,VM1,2000/5/8,201,1,Middle Water,5900
Victoria Harbour,VM1,2000/6/14,202,1,Middle Water,23000
Victoria Harbour,VM1,2000/7/10,203,1,Middle Water,27000
Victoria Harbour,VM1,2000/8/11,204,1,Middle Water,91000
Victoria Harbour,VM1,2000/9/14,205,1,Middle Water,10000
Victoria Harbour,VM1,2000/10/9,206,1,Middle Water,23000
Victoria Harbour,VM1,2000/11/8,207,1,Middle Water,10000
Victoria Harbour,VM1,2000/12/4,208,1,Middle Water,9100
Victoria Harbour,VM1,2001/1/10,209,1,Middle Water,3400
Victoria Harbour,VM1,2001/2/14,210,1,Middle Water,5200
Victoria Harbour,VM1,2001/3/12,211,1,Middle Water,4100
Victoria Harbour,VM1,2001/4/20,212,1,Middle Water,8400
Victoria Harbour,VM1,2001/5/23,213,1,Middle Water,8400
Victoria Harbour,VM1,2001/6/18,214,1,Middle Water,49000
Victoria Harbour,VM1,2001/7/13,215,1,Middle Water,34000
Victoria Harbour,VM1,2001/8/15,216,1,Middle Water,220000
Victoria Harbour,VM1,2001/9/10,217,1,Middle Water,4200
Victoria Harbour,VM1,2001/10/4,218,1,Middle Water,8800
Victoria Harbour,VM1,2001/11/5,219,1,Middle Water,2600
Victoria Harbour,VM1,2001/12/7,220,1,Middle Water,680
Victoria Harbour,VM1,2002/1/14,221,1,Middle Water,380
Victoria Harbour,VM1,2002/2/4,222,1,Middle Water,14000
Victoria Harbour,VM1,2002/3/4,223,1,Middle Water,80
Victoria Harbour,VM1,2002/4/2,224,1,Middle Water,290
Victoria Harbour,VM1,2002/5/2,225,1,Middle Water,2500
Victoria Harbour,VM1,2002/6/3,226,1,Middle Water,35
Victoria Harbour,VM1,2002/7/3,227,1,Middle Water,18
Victoria Harbour,VM1,2002/8/5,228,1,Middle Water,1900
Victoria Harbour,VM1,2002/9/2,229,1,Middle Water,130
Victoria Harbour,VM1,2002/10/7,230,1,Middle Water,3900
Victoria Harbour,VM1,2002/11/6,231,1,Middle Water,520
Victoria Harbour,VM1,2002/12/2,232,1,Middle Water,5400
Victoria Harbour,VM1,2003/1/15,233,1,Middle Water,210
Victoria Harbour,VM1,2003/2/12,234,1,Middle Water,34
Victoria Harbour,VM1,2003/3/19,235,1,Middle Water,390
Victoria Harbour,VM1,2003/4/2,236,1,Middle Water,360
Victoria Harbour,VM1,2003/5/23,237,1,Middle Water,65
Victoria Harbour,VM1,2003/6/2,238,1,Middle Water,70
Victoria Harbour,VM1,2003/7/3,239,1,Middle Water,120
Victoria Harbour,VM1,2003/8/20,240,1,Middle Water,130
Victoria Harbour,VM1,2003/9/4,241,1,Middle Water,620
Victoria Harbour,VM1,2003/10/22,242,1,Middle Water,2100
Victoria Harbour,VM1,2003/11/10,243,1,Middle Water,390
Victoria Harbour,VM1,2003/12/4,244,1,Middle Water,120
Victoria Harbour,VM1,2004/1/9,245,1,Middle Water,210
Victoria Harbour,VM1,2004/2/12,246,1,Middle Water,270
Victoria Harbour,VM1,2004/3/11,247,1,Middle Water,250
Victoria Harbour,VM1,2004/4/29,248,1,Middle Water,180
Victoria Harbour,VM1,2004/5/24,249,1,Middle Water,61
Victoria Harbour,VM1,2004/6/14,250,1,Middle Water,2900
Victoria Harbour,VM1,2004/7/21,251,1,Middle Water,59
Victoria Harbour,VM1,2004/8/12,252,1,Middle Water,7900
Victoria Harbour,VM1,2004/9/10,253,1,Middle Water,3400
Victoria Harbour,VM1,2004/10/8,254,1,Middle Water,2700
Victoria Harbour,VM1,2004/11/18,255,1,Middle Water,540
Victoria Harbour,VM1,2004/12/1,256,1,Middle Water,490
Victoria Harbour,VM1,2005/1/19,257,1,Middle Water,970
Victoria Harbour,VM1,2005/2/16,258,1,Middle Water,450
Victoria Harbour,VM1,2005/3/3,259,1,Middle Water,700
Victoria Harbour,VM1,2005/4/7,260,1,Middle Water,180
Victoria Harbour,VM1,2005/5/5,261,1,Middle Water,530
Victoria Harbour,VM1,2005/6/2,262,1,Middle Water,2400
Victoria Harbour,VM1,2005/7/6,263,1,Middle Water,10000
Victoria Harbour,VM1,2005/8/10,264,1,Middle Water,320
Victoria Harbour,VM1,2005/9/14,265,1,Middle Water,5800
Victoria Harbour,VM1,2005/10/18,266,1,Middle Water,430
Victoria Harbour,VM1,2005/11/14,267,1,Middle Water,630
Victoria Harbour,VM1,2005/12/1,268,1,Middle Water,300
Victoria Harbour,VM1,2006/1/3,269,1,Middle Water,150
Victoria Harbour,VM1,2006/2/2,270,1,Middle Water,370
Victoria Harbour,VM1,2006/3/13,271,1,Middle Water,600
Victoria Harbour,VM1,2006/4/20,272,1,Middle Water,49
Victoria Harbour,VM1,2006/5/18,273,1,Middle Water,130
Victoria Harbour,VM1,2006/6/1,274,1,Middle Water,330
Victoria Harbour,VM1,2006/7/3,275,1,Middle Water,820
Victoria Harbour,VM1,2006/8/4,276,1,Middle Water,4100
Victoria Harbour,VM1,2006/9/4,277,1,Middle Water,2200
Victoria Harbour,VM1,2006/10/5,278,1,Middle Water,650
Victoria Harbour,VM1,2006/11/2,279,1,Middle Water,590
Victoria Harbour,VM1,2006/12/4,280,1,Middle Water,510
Victoria Harbour,VM1,2007/1/15,281,1,Middle Water,380
Victoria Harbour,VM1,2007/2/1,282,1,Middle Water,550
Victoria Harbour,VM1,2007/3/7,283,1,Middle Water,570
Victoria Harbour,VM1,2007/4/12,284,1,Middle Water,490
Victoria Harbour,VM1,2007/5/3,285,1,Middle Water,150
Victoria Harbour,VM1,2007/6/22,286,1,Middle Water,110
Victoria Harbour,VM1,2007/7/23,287,1,Middle Water,1100
Victoria Harbour,VM1,2007/8/23,288,1,Middle Water,5100
Victoria Harbour,VM1,2007/9/17,289,1,Middle Water,200
Victoria Harbour,VM1,2007/10/10,290,1,Middle Water,330
Victoria Harbour,VM1,2007/11/8,291,1,Middle Water,510
Victoria Harbour,VM1,2007/12/4,292,1,Middle Water,170
Victoria Harbour,VM1,2008/1/3,293,1,Middle Water,190
Victoria Harbour,VM1,2008/2/1,294,1,Middle Water,98
Victoria Harbour,VM1,2008/3/28,295,1,Middle Water,100
Victoria Harbour,VM1,2008/4/23,296,1,Middle Water,360
Victoria Harbour,VM1,2008/5/19,297,1,Middle Water,190
Victoria Harbour,VM1,2008/6/11,298,1,Middle Water,270
Victoria Harbour,VM1,2008/7/2,299,1,Middle Water,2900
Victoria Harbour,VM1,2008/8/4,300,1,Middle Water,140
Victoria Harbour,VM1,2008/9/19,301,1,Middle Water,260
Victoria Harbour,VM1,2008/10/8,302,1,Middle Water,2400
Victoria Harbour,VM1,2008/11/5,303,1,Middle Water,900
Victoria Harbour,VM1,2008/12/10,304,1,Middle Water,240
Victoria Harbour,VM1,2009/1/6,305,1,Middle Water,54
Victoria Harbour,VM1,2009/2/27,306,1,Middle Water,210
Victoria Harbour,VM1,2009/3/16,307,1,Middle Water,130
Victoria Harbour,VM1,2009/4/22,308,1,Middle Water,110
Victoria Harbour,VM1,2009/5/7,309,1,Middle Water,48
Victoria Harbour,VM1,2009/6/3,310,1,Middle Water,420
Victoria Harbour,VM1,2009/7/2,311,1,Middle Water,4000
Victoria Harbour,VM1,2009/8/21,312,1,Middle Water,200
Victoria Harbour,VM1,2009/9/3,313,1,Middle Water,770
Victoria Harbour,VM1,2009/10/7,314,1,Middle Water,180
Victoria Harbour,VM1,2009/11/4,315,1,Middle Water,280
Victoria Harbour,VM1,2009/12/3,316,1,Middle Water,290
Victoria Harbour,VM1,2010/1/7,317,1,Middle Water,710
Victoria Harbour,VM1,2010/2/22,318,1,Middle Water,320
Victoria Harbour,VM1,2010/3/26,319,1,Middle Water,290
Victoria Harbour,VM1,2010/4/9,320,1,Middle Water,580
Victoria Harbour,VM1,2010/5/26,321,1,Middle Water,9700
Victoria Harbour,VM1,2010/6/10,322,1,Middle Water,7100
Victoria Harbour,VM1,2010/7/7,323,1,Middle Water,11000
Victoria Harbour,VM1,2010/8/4,324,1,Middle Water,800
Victoria Harbour,VM1,2010/9/1,325,1,Middle Water,260
Victoria Harbour,VM1,2010/10/13,326,1,Middle Water,1300
Victoria Harbour,VM1,2010/11/1,327,1,Middle Water,900
Victoria Harbour,VM1,2010/12/16,328,1,Middle Water,800
Victoria Harbour,VM1,2011/1/12,329,1,Middle Water,140
Victoria Harbour,VM1,2011/2/9,330,1,Middle Water,240
Victoria Harbour,VM1,2011/3/16,331,1,Middle Water,30
Victoria Harbour,VM1,2011/4/6,332,1,Middle Water,160
Victoria Harbour,VM1,2011/5/11,333,1,Middle Water,90
Victoria Harbour,VM1,2011/6/8,334,1,Middle Water,8
Victoria Harbour,VM1,2011/7/8,335,1,Middle Water,310
Victoria Harbour,VM1,2011/8/3,336,1,Middle Water,110
Victoria Harbour,VM1,2011/9/2,337,1,Middle Water,100
Victoria Harbour,VM1,2011/10/6,338,1,Middle Water,600
Victoria Harbour,VM1,2011/11/2,339,1,Middle Water,420
Victoria Harbour,VM1,2011/12/5,340,1,Middle Water,280
Victoria Harbour,VM1,2012/1/4,341,1,Middle Water,260
Victoria Harbour,VM1,2012/2/1,342,1,Middle Water,7
Victoria Harbour,VM1,2012/3/8,343,1,Middle Water,290
Victoria Harbour,VM1,2012/4/13,344,1,Middle Water,33
Victoria Harbour,VM1,2012/5/2,345,1,Middle Water,1000
Victoria Harbour,VM1,2012/6/6,346,1,Middle Water,140
Victoria Harbour,VM1,2012/7/5,347,1,Middle Water,170
Victoria Harbour,VM1,2012/8/1,348,1,Middle Water,810
Victoria Harbour,VM1,2012/9/20,349,1,Middle Water,190
Victoria Harbour,VM1,2012/10/3,350,1,Middle Water,260
Victoria Harbour,VM1,2012/11/1,351,1,Middle Water,290
Victoria Harbour,VM1,2012/12/3,352,1,Middle Water,760
Victoria Harbour,VM1,2013/1/2,353,1,Middle Water,290
Victoria Harbour,VM1,2013/2/23,354,1,Middle Water,250
Victoria Harbour,VM1,2013/3/11,355,1,Middle Water,240
Victoria Harbour,VM1,2013/4/18,356,1,Middle Water,90
Victoria Harbour,VM1,2013/5/23,357,1,Middle Water,1600
Victoria Harbour,VM1,2013/6/6,358,1,Middle Water,1400
Victoria Harbour,VM1,2013/7/4,359,1,Middle Water,800
Victoria Harbour,VM1,2013/8/12,360,1,Middle Water,220
Victoria Harbour,VM1,2013/9/9,361,1,Middle Water,200
Victoria Harbour,VM1,2013/10/4,362,1,Middle Water,200
Victoria Harbour,VM1,2013/11/8,363,1,Middle Water,400
Victoria Harbour,VM1,2013/12/2,364,1,Middle Water,340
Victoria Harbour,VM1,2014/1/16,365,1,Middle Water,80
Victoria Harbour,VM1,2014/2/26,366,1,Middle Water,480
Victoria Harbour,VM1,2014/3/10,367,1,Middle Water,140
Victoria Harbour,VM1,2014/4/4,368,1,Middle Water,630
Victoria Harbour,VM1,2014/5/9,369,1,Middle Water,160
Victoria Harbour,VM1,2014/6/6,370,1,Middle Water,1100
Victoria Harbour,VM1,2014/7/7,371,1,Middle Water,3500
Victoria Harbour,VM1,2014/8/20,372,1,Middle Water,10000
Victoria Harbour,VM1,2014/9/3,373,1,Middle Water,900
Victoria Harbour,VM1,2014/10/6,374,1,Middle Water,150
Victoria Harbour,VM1,2014/11/5,375,1,Middle Water,600
Victoria Harbour,VM1,2014/12/1,376,1,Middle Water,1200
Victoria Harbour,VM1,2015/1/5,377,1,Middle Water,650
Victoria Harbour,VM1,2015/2/6,378,1,Middle Water,330
Victoria Harbour,VM1,2015/3/6,379,1,Middle Water,240
Victoria Harbour,VM1,2015/4/10,380,1,Middle Water,590
Victoria Harbour,VM1,2015/5/4,381,1,Middle Water,180
Victoria Harbour,VM1,2015/6/12,382,1,Middle Water,2000
Victoria Harbour,VM1,2015/7/17,383,1,Middle Water,140
Victoria Harbour,VM1,2015/8/6,384,1,Middle Water,270
Victoria Harbour,VM1,2015/9/2,385,1,Middle Water,520
Victoria Harbour,VM1,2015/10/2,386,1,Middle Water,130
Victoria Harbour,VM1,2015/11/4,387,1,Middle Water,350
Victoria Harbour,VM1,2015/12/3,388,1,Middle Water,120
Victoria Harbour,VM1,2016/1/6,389,1,Middle Water,310
Victoria Harbour,VM1,2016/2/11,390,1,Middle Water,96
Victoria Harbour,VM1,2016/3/10,391,1,Middle Water,150
Victoria Harbour,VM1,2016/4/8,392,1,Middle Water,530
Victoria Harbour,VM1,2016/5/5,393,1,Middle Water,660
Victoria Harbour,VM1,2016/6/6,394,1,Middle Water,80
Victoria Harbour,VM1,2016/7/6,395,1,Middle Water,830
